date,total_cases
2020-01-01,27
2020-01-02,27
2020-01-03,44
2020-01-04,44
2020-01-05,59
2020-01-06,59
2020-01-07,59
2020-01-08,59
2020-01-09,59
2020-01-10,59
2020-01-11,59
2020-01-12,59
2020-01-13,60
2020-01-14,60
2020-01-15,61
2020-01-16,61
2020-01-17,66
2020-01-18,83
2020-01-19,219
2020-01-20,239
2020-01-21,392
2020-01-22,534
2020-01-23,631
2020-01-24,897
2020-01-25,1350
2020-01-26,2023
2020-01-27,2820
2020-01-28,4587
2020-01-29,6067
2020-01-30,7823
2020-01-31,9826
2020-02-01,11946
2020-02-02,14554
2020-02-03,17372
2020-02-04,20615
2020-02-05,24522
2020-02-06,28273
2020-02-07,31491
2020-02-08,34933
2020-02-09,37552
2020-02-10,40540
2020-02-11,43105
2020-02-12,45177
2020-02-13,60328
2020-02-14,64543
2020-02-15,67103
2020-02-16,69265
2020-02-17,71332
2020-02-18,73327
2020-02-19,75191
2020-02-20,75723
2020-02-21,76719
2020-02-22,77804
2020-02-23,78812
2020-02-24,79339
2020-02-25,80132
2020-02-26,80997
2020-02-27,82106
2020-02-28,83375
2020-02-29,85223
2020-03-01,87042
2020-03-02,89136
2020-03-03,90969
2020-03-04,93250
2020-03-05,95566
2020-03-06,98599
2020-03-07,102734
2020-03-08,106666
2020-03-09,110844
2020-03-10,115597
2020-03-11,120587
2020-03-12,128249
2020-03-13,137435
2020-03-14,147484
2020-03-15,159669
2020-03-16,172055
2020-03-17,185988
2020-03-18,202703
2020-03-19,222833
2020-03-20,253559
2020-03-21,285113
2020-03-22,319079
2020-03-23,352974
2020-03-24,396854
2020-03-25,438409
2020-03-26,491164
2020-03-27,551586
2020-03-28,616390
2020-03-29,678650
2020-03-30,735441
2020-03-31,799674
2020-04-01,873079
2020-04-02,950163
2020-04-03,1026976
2020-04-04,1108201
2020-04-05,1192459
2020-04-06,1260801
2020-04-07,1333956
2020-04-08,1409046
2020-04-09,1493917
2020-04-10,1580326
2020-04-11,1670281
2020-04-12,1750723
2020-04-13,1820865
2020-04-14,1886475
2020-04-15,1964114
2020-04-16,2043033
2020-04-17,2126427
2020-04-18,2208379
2020-04-19,2287793
2020-04-20,2359094
2020-04-21,2434788
2020-04-22,2520808
2020-04-23,2586938
2020-04-24,2664432
2020-04-25,2737504
2020-04-26,2837407
2020-04-27,2919860
2020-04-28,2985842
2020-04-29,3057330
2020-04-30,3135126
2020-05-01,3219651
2020-05-02,3311112
2020-05-03,3392081
2020-05-04,3470325
2020-05-05,3547799
2020-05-06,3627277
2020-05-07,3717380
2020-05-08,3811352
2020-05-09,3901382
2020-05-10,3991192
2020-05-11,4067828
2020-05-12,4138949
2020-05-13,4224790
2020-05-14,4310864
2020-05-15,4407509
2020-05-16,4505536
2020-05-17,4599556
2020-05-18,4680559
2020-05-19,4767726
2020-05-20,4862820
2020-05-21,4962386
2020-05-22,5070116
2020-05-23,5176680
2020-05-24,5277595
2020-05-25,5371597
2020-05-26,5460747
2020-05-27,5556711
2020-05-28,5659330
2020-05-29,5778040
2020-05-30,5901017
2020-05-31,6028738
2020-06-01,6136572
2020-06-02,6237002
2020-06-03,6349611
2020-06-04,6476329
2020-06-05,6604082
2020-06-06,6737618
2020-06-07,6863420
2020-06-08,6979677
2020-06-09,7085464
2020-06-10,7211119
2020-06-11,7344559
2020-06-12,7482088
2020-06-13,7626590
2020-06-14,7760557
2020-06-15,7882683
2020-06-16,8001532
2020-06-17,8143020
2020-06-18,8319560
2020-06-19,8458337
2020-06-20,8635659
2020-06-21,8797653
2020-06-22,8927545
2020-06-23,9063821
2020-06-24,9229672
2020-06-25,9401004
2020-06-26,9582584
2020-06-27,9771843
2020-06-28,9953229
2020-06-29,10113462
2020-06-30,10273424
