date,United States,
2019-12-31,0,
2020-01-01,0,
2020-01-02,0,
2020-01-03,0,
2020-01-04,0,
2020-01-05,0,
2020-01-06,0,
2020-01-07,0,
2020-01-08,0,
2020-01-09,0,
2020-01-10,0,
2020-01-11,0,
2020-01-12,0,
2020-01-13,0,
2020-01-14,0,
2020-01-15,0,
2020-01-16,0,
2020-01-17,0,
2020-01-18,0,
2020-01-19,0,
2020-01-20,0,
2020-01-21,1,0
2020-01-22,1,
2020-01-23,1,
2020-01-24,1,
2020-01-25,2,
2020-01-26,2,
2020-01-27,5,13
2020-01-28,5,
2020-01-29,5,
2020-01-30,5,
2020-01-31,6,
2020-02-01,7,
2020-02-02,8,
2020-02-03,11,47
2020-02-04,11,
2020-02-05,11,
2020-02-06,12,
2020-02-07,12,
2020-02-08,12,
2020-02-09,12,
2020-02-10,12,
2020-02-11,13,
2020-02-12,13,
2020-02-13,14,
2020-02-14,15,
2020-02-15,15,
2020-02-16,15,
2020-02-17,15,
2020-02-18,15,
2020-02-19,15,
2020-02-20,15,
2020-02-21,16,
2020-02-22,35,
2020-02-23,35,
2020-02-24,35,
2020-02-25,53,
2020-02-26,53,
2020-02-27,59,
2020-02-28,60,
2020-02-29,66,
2020-03-01,69,
2020-03-02,89,
2020-03-03,103,
2020-03-04,125,
2020-03-05,159,
2020-03-06,233,
2020-03-07,338,
2020-03-08,433,
2020-03-09,554,
2020-03-10,754,
2020-03-11,1025,
2020-03-12,1312,
2020-03-13,1663,
2020-03-14,2174,
2020-03-15,2951,
2020-03-16,3774,
2020-03-17,4661,
2020-03-18,6427,
2020-03-19,9415,
2020-03-20,14250,
2020-03-21,19624,
2020-03-22,26747,
2020-03-23,35206,
2020-03-24,46442,
2020-03-25,55231,
2020-03-26,69194,
2020-03-27,85991,
2020-03-28,104686,
2020-03-29,124665,
2020-03-30,143025,
2020-03-31,164620,
2020-04-01,189618,
2020-04-02,216721,
2020-04-03,245540,
2020-04-04,277965,
2020-04-05,312237,
2020-04-06,337635,
2020-04-07,368196,
2020-04-08,398809,
2020-04-09,432132,
2020-04-10,466033,
2020-04-11,501560,
2020-04-12,529951,
2020-04-13,557571,
2020-04-14,582594,
2020-04-15,609516,
2020-04-16,639664,
2020-04-17,671331,
2020-04-18,702164,
2020-04-19,735086,
2020-04-20,759687,
2020-04-21,787752,
2020-04-22,825041,
2020-04-23,842629,
2020-04-24,869172,
2020-04-25,890524,
2020-04-26,939053,
2020-04-27,965910,
2020-04-28,988451,
2020-04-29,1012583,
2020-04-30,1039909,
2020-05-01,1069826,
2020-05-02,1103781,
2020-05-03,1133069,
2020-05-04,1158041,
2020-05-05,1180634,
2020-05-06,1204475,
2020-05-07,1228603,
2020-05-08,1256972,
2020-05-09,1283929,
2020-05-10,1309541,
2020-05-11,1329799,
2020-05-12,1347916,
2020-05-13,1369964,
2020-05-14,1390746,
2020-05-15,1417889,
2020-05-16,1443397,
2020-05-17,1467884,
2020-05-18,1486757,
2020-05-19,1508598,
2020-05-20,1528568,
2020-05-21,1551853,
2020-05-22,1577287,
2020-05-23,1601434,
2020-05-24,1622670,
2020-05-25,1643238,
2020-05-26,1662302,
2020-05-27,1681212,
2020-05-28,1699933,
2020-05-29,1721750,
2020-05-30,1747087,
2020-05-31,1770384,
2020-06-01,1790191,
2020-06-02,1811277,
2020-06-03,1831821,
2020-06-04,1851520,
2020-06-05,1872660,
2020-06-06,1897838,
2020-06-07,1920061,
2020-06-08,1942363,
2020-06-09,1961185,
2020-06-10,1979850,
2020-06-11,2000464,
2020-06-12,2023347,
2020-06-13,2048986,
2020-06-14,2074526,
2020-06-15,2094069,
2020-06-16,2114026,
2020-06-17,2137731,
2020-06-18,2163290,
2020-06-19,2191052,
2020-06-20,2220961,
2020-06-21,2255119,
2020-06-22,2280912,
2020-06-23,2312302,
2020-06-24,2347022,
2020-06-25,2381361,
2020-06-26,2422310,
2020-06-27,2467837,
2020-06-28,2510323,
2020-06-29,2548996,
2020-06-30,2590552,
2020-07-01,2634432,
2020-07-02,2686480,
2020-07-03,2739879,
2020-07-04,2794321,
2020-07-05,2839542,
2020-07-06,2888635,
2020-07-07,2938625,
