Category: All categories

Day,Money: (Worldwide),Death: (Worldwide),Love: (Worldwide)
2019-01-01,23,38,51
2019-01-02,26,32,46
2019-01-03,26,33,46
2019-01-04,26,33,45
2019-01-05,24,36,49
2019-01-06,25,36,51
2019-01-07,25,31,44
2019-01-08,25,31,44
2019-01-09,25,30,46
2019-01-10,25,31,45
2019-01-11,25,31,45
2019-01-12,23,32,48
2019-01-13,23,34,49
2019-01-14,25,31,44
2019-01-15,24,31,44
2019-01-16,25,31,45
2019-01-17,25,33,46
2019-01-18,24,33,45
2019-01-19,23,34,48
2019-01-20,24,35,47
2019-01-21,24,32,45
2019-01-22,24,31,45
2019-01-23,24,35,45
2019-01-24,24,33,46
2019-01-25,24,31,46
2019-01-26,24,36,49
2019-01-27,25,35,50
2019-01-28,24,32,44
2019-01-29,24,32,45
2019-01-30,24,32,45
2019-01-31,24,31,44
2019-02-01,25,31,46
2019-02-02,24,32,49
2019-02-03,23,40,50
2019-02-04,25,34,46
2019-02-05,25,32,47
2019-02-06,24,30,46
2019-02-07,24,32,48
2019-02-08,24,39,50
2019-02-09,23,36,52
2019-02-10,23,33,53
2019-02-11,25,37,49
2019-02-12,25,33,52
2019-02-13,24,31,64
2019-02-14,24,31,100
2019-02-15,24,31,55
2019-02-16,24,36,53
2019-02-17,23,36,52
2019-02-18,24,31,46
2019-02-19,24,38,45
2019-02-20,25,33,44
2019-02-21,24,31,45
2019-02-22,24,33,45
2019-02-23,23,39,48
2019-02-24,23,37,49
2019-02-25,24,34,43
2019-02-26,24,34,45
2019-02-27,24,32,43
2019-02-28,25,33,44
2019-03-01,25,35,43
2019-03-02,23,35,47
2019-03-03,23,36,49
2019-03-04,25,43,44
2019-03-05,25,38,43
2019-03-06,24,34,43
2019-03-07,24,32,44
2019-03-08,24,32,46
2019-03-09,23,34,48
2019-03-10,22,34,48
2019-03-11,24,32,43
2019-03-12,24,31,43
2019-03-13,24,31,42
2019-03-14,24,32,44
2019-03-15,23,33,44
2019-03-16,23,35,48
2019-03-17,23,37,50
2019-03-18,24,33,44
2019-03-19,24,32,45
2019-03-20,24,31,45
2019-03-21,23,31,45
2019-03-22,23,31,45
2019-03-23,23,32,49
2019-03-24,24,33,50
2019-03-25,25,34,44
2019-03-26,24,31,43
2019-03-27,24,31,45
2019-03-28,24,30,45
2019-03-29,25,30,45
2019-03-30,22,31,48
2019-03-31,22,32,48
2019-04-01,25,39,43
2019-04-02,24,34,43
2019-04-03,24,33,43
2019-04-04,25,33,45
2019-04-05,24,32,45
2019-04-06,22,33,46
2019-04-07,23,33,49
2019-04-08,24,31,44
2019-04-09,24,30,43
2019-04-10,24,29,42
2019-04-11,24,30,43
2019-04-12,23,31,43
2019-04-13,22,32,47
2019-04-14,24,32,47
2019-04-15,24,30,42
2019-04-16,24,29,42
2019-04-17,24,33,43
2019-04-18,24,33,45
2019-04-19,24,36,47
2019-04-20,23,36,48
2019-04-21,22,38,50
2019-04-22,25,36,45
2019-04-23,24,33,43
2019-04-24,24,34,43
2019-04-25,23,34,45
2019-04-26,24,35,42
2019-04-27,22,33,47
2019-04-28,22,37,47
2019-04-29,23,45,43
2019-04-30,24,40,44
2019-05-01,24,36,46
2019-05-02,24,34,43
2019-05-03,24,33,44
2019-05-04,23,32,47
2019-05-05,22,35,46
2019-05-06,23,34,42
2019-05-07,24,31,42
2019-05-08,24,30,42
2019-05-09,25,30,44
2019-05-10,25,30,45
2019-05-11,23,33,48
2019-05-12,23,35,50
2019-05-13,25,36,42
2019-05-14,25,33,43
2019-05-15,24,31,43
2019-05-16,25,31,42
2019-05-17,24,33,43
2019-05-18,23,33,46
2019-05-19,23,35,47
2019-05-20,25,32,43
2019-05-21,25,33,42
2019-05-22,24,32,42
2019-05-23,23,31,41
2019-05-24,24,30,43
2019-05-25,24,31,46
2019-05-26,23,33,46
2019-05-27,24,43,43
2019-05-28,24,36,43
2019-05-29,24,30,43
2019-05-30,25,30,42
2019-05-31,24,30,43
2019-06-01,24,38,47
2019-06-02,24,36,47
2019-06-03,24,33,42
2019-06-04,24,31,41
2019-06-05,23,30,40
2019-06-06,23,33,42
2019-06-07,23,32,43
2019-06-08,23,32,48
