Category: All categories,,,
Day,Money: (Worldwide),Death: (Worldwide),Love: (Worldwide)
2020-01-01,21,32,43
2020-01-02,22,29,38
2020-01-03,23,31,39
2020-01-04,22,34,41
2020-01-05,22,32,42
2020-01-06,23,29,37
2020-01-07,22,29,38
2020-01-08,22,29,37
2020-01-09,23,28,37
2020-01-10,23,29,37
2020-01-11,21,31,41
2020-01-12,22,31,42
2020-01-13,22,28,36
2020-01-14,23,28,38
2020-01-15,23,28,37
2020-01-16,23,29,37
2020-01-17,21,28,38
2020-01-18,21,31,42
2020-01-19,22,29,42
2020-01-20,22,28,39
2020-01-21,22,28,40
2020-01-22,21,27,38
2020-01-23,21,28,38
2020-01-24,22,29,38
2020-01-25,21,32,41
2020-01-26,20,100,41
2020-01-27,21,78,37
2020-01-28,21,41,39
2020-01-29,21,36,38
2020-01-30,22,36,38
2020-01-31,22,35,40
2020-02-01,22,34,42
2020-02-02,22,34,43
2020-02-03,22,31,39
2020-02-04,22,32,41
2020-02-05,22,30,39
2020-02-06,22,33,40
2020-02-07,22,32,42
2020-02-08,20,33,46
2020-02-09,20,35,45
2020-02-10,21,32,41
2020-02-11,22,30,40
2020-02-12,21,29,43
2020-02-13,21,29,51
2020-02-14,20,29,80
2020-02-15,20,33,48
2020-02-16,20,33,45
2020-02-17,21,30,38
2020-02-18,21,36,38
2020-02-19,21,32,38
2020-02-20,21,30,37
2020-02-21,21,29,38
2020-02-22,20,30,40
2020-02-23,21,32,41
2020-02-24,22,32,36
2020-02-25,21,33,36
2020-02-26,22,33,37
2020-02-27,21,34,39
2020-02-28,21,33,39
2020-02-29,20,35,41
2020-03-01,20,35,40
2020-03-02,21,36,35
2020-03-03,21,36,36
2020-03-04,21,34,36
2020-03-05,21,34,38
2020-03-06,21,35,37
2020-03-07,20,37,40
2020-03-08,19,36,40
2020-03-09,21,37,35
2020-03-10,21,38,35
2020-03-11,20,41,34
2020-03-12,20,51,33
2020-03-13,20,49,34
2020-03-14,19,51,38
2020-03-15,19,53,39
2020-03-16,20,51,32
2020-03-17,23,53,34
2020-03-18,24,57,34
2020-03-19,24,58,35
2020-03-20,23,60,36
2020-03-21,22,70,39
2020-03-22,22,71,40
2020-03-23,23,63,35
2020-03-24,24,61,36
2020-03-25,31,65,35
2020-03-26,29,63,36
2020-03-27,28,64,36
2020-03-28,32,70,41
2020-03-29,27,72,41
2020-03-30,26,63,35
2020-03-31,27,62,38
2020-04-01,27,63,38
2020-04-02,27,63,39
2020-04-03,26,62,39
2020-04-04,25,69,43
2020-04-05,24,72,44
2020-04-06,25,62,39
2020-04-07,26,59,39
2020-04-08,29,64,39
2020-04-09,29,62,40
2020-04-10,29,64,42
2020-04-11,27,64,44
2020-04-12,25,67,45
2020-04-13,28,59,40
2020-04-14,29,53,39
2020-04-15,33,52,39
2020-04-16,31,53,39
2020-04-17,29,57,41
2020-04-18,27,57,43
2020-04-19,25,59,44
2020-04-20,27,51,38
2020-04-21,27,54,38
2020-04-22,28,50,39
2020-04-23,28,51,38
2020-04-24,27,50,39
2020-04-25,25,79,43
2020-04-26,24,83,44
2020-04-27,27,57,39
2020-04-28,26,53,39
2020-04-29,27,61,39
2020-04-30,29,62,39
2020-05-01,27,55,42
2020-05-02,27,55,45
2020-05-03,26,56,44
2020-05-04,26,51,39
2020-05-05,27,55,39
2020-05-06,26,47,39
2020-05-07,28,47,39
2020-05-08,27,47,39
2020-05-09,25,52,43
2020-05-10,24,53,46
2020-05-11,26,46,37
2020-05-12,27,45,37
2020-05-13,26,45,38
2020-05-14,27,44,36
2020-05-15,28,44,37
2020-05-16,26,48,41
2020-05-17,25,49,42
2020-05-18,28,43,37
2020-05-19,27,44,39
2020-05-20,26,44,38
2020-05-21,27,44,39
2020-05-22,26,42,37
2020-05-23,24,47,39
2020-05-24,23,49,41
2020-05-25,24,46,38
2020-05-26,24,43,38
2020-05-27,25,44,38
2020-05-28,25,46,37
2020-05-29,24,46,38
2020-05-30,23,47,39
2020-05-31,23,48,41
2020-06-01,23,49,37
2020-06-02,24,45,38
2020-06-03,23,45,38
2020-06-04,24,47,36
2020-06-05,24,44,36
2020-06-06,23,46,40
2020-06-07,22,47,41
2020-06-08,24,40,36
2020-06-09,24,42,37
2020-06-10,24,39,38
2020-06-11,24,38,38
2020-06-12,23,37,41
2020-06-13,22,40,41
2020-06-14,22,63,41
2020-06-15,24,47,36
2020-06-16,23,41,36
2020-06-17,23,40,36
2020-06-18,23,39,37
2020-06-19,23,38,37
2020-06-20,22,41,41
2020-06-21,21,42,42
2020-06-22,23,37,37
2020-06-23,23,36,37
2020-06-24,22,36,37
2020-06-25,22,37,37
2020-06-26,22,38,37
2020-06-27,21,40,40
2020-06-28,21,43,41
2020-06-29,23,38,36
2020-06-30,23,35,36
